table_id,calendar_year,recid,symbol,page,schedule_number,base_schedule_number,fund_code,fund_name,table_kind,column_boundaries,row_count,csv_path
2017-p024-voluntary-contribution-receivable-1.5.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,24,1.5.1,1.5,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",7,data/trust-fund-schedules/stage1/tables/2017-p024-voluntary-contribution-receivable-1.5.1-y087.csv
2017-p024-voluntary-contribution-1.5.1-y208,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,24,1.5.1,1.5,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",11,data/trust-fund-schedules/stage1/tables/2017-p024-voluntary-contribution-1.5.1-y208.csv
2017-p025-financial-position-1.6-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,25,1.6,1.6,CTI,Trust Fund for Counter-Terrorism,financial_position,"[0.0, 302.58, 399.23, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p025-financial-position-1.6-y146.csv
2017-p026-financial-performance-1.6-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,26,1.6,1.6,CTI,Trust Fund for Counter-Terrorism,financial_performance,"[0.0, 318.0, 411.05, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p026-financial-performance-1.6-y115.csv
2017-p027-voluntary-contribution-receivable-1.6.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,27,1.6.1,1.6,CTI,Trust Fund for Counter-Terrorism,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",13,data/trust-fund-schedules/stage1/tables/2017-p027-voluntary-contribution-receivable-1.6.1-y087.csv
2017-p027-voluntary-contribution-1.6.1-y274,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,27,1.6.1,1.6,CTI,Trust Fund for Counter-Terrorism,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",25,data/trust-fund-schedules/stage1/tables/2017-p027-voluntary-contribution-1.6.1-y274.csv
2017-p028-financial-position-1.8-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,28,1.8,1.8,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,financial_position,"[0.0, 302.59, 399.24, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p028-financial-position-1.8-y146.csv
2017-p029-financial-performance-1.8-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,29,1.8,1.8,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,financial_performance,"[0.0, 318.0, 411.05, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p029-financial-performance-1.8-y115.csv
2017-p030-voluntary-contribution-receivable-1.8.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,30,1.8.1,1.8,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",11,data/trust-fund-schedules/stage1/tables/2017-p030-voluntary-contribution-receivable-1.8.1-y087.csv
2017-p030-voluntary-contribution-1.8.1-y252,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,30,1.8.1,1.8,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",14,data/trust-fund-schedules/stage1/tables/2017-p030-voluntary-contribution-1.8.1-y252.csv
2017-p031-financial-position-1.9-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,31,1.9,1.9,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",financial_position,"[0.0, 302.59, 399.24, 498.53, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p031-financial-position-1.9-y146.csv
2017-p032-financial-performance-1.9-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,32,1.9,1.9,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p032-financial-performance-1.9-y115.csv
2017-p033-voluntary-contribution-receivable-1.9.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,33,1.9.1,1.9,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",10,data/trust-fund-schedules/stage1/tables/2017-p033-voluntary-contribution-receivable-1.9.1-y087.csv
2017-p033-voluntary-contribution-1.9.1-y241,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,33,1.9.1,1.9,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",14,data/trust-fund-schedules/stage1/tables/2017-p033-voluntary-contribution-1.9.1-y241.csv
