fund_code,fund_name,first_year,last_year,observed_years
KUA,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf,2017,2024,8
LAC,ECLAC - Miscellaneous project accounts,2017,2024,8
LEA,Library Endowment Fund,2017,2024,8
LJA,Trust Fund for Special Projects of the Secretary-General,2017,2024,8
LLA,Trust Fund in Support of the Department of Peacekeeping Operations,2017,2024,8
LLB,Trust Fund in Support of the Department of Operational Support,2019,2024,6
LLS,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)",2017,2024,8
LMR,Trust Fund for Locally Mobilized Non-Core Support for the UN Resident Coordinator Offices,2022,2024,3
LPD,Trust Fund to Support Lasting Peace in Darfur,2017,2024,8
LRA,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution,2017,2024,8
LSS,Trust Fund for UNOG Local Support Services,2017,2024,8
LTA,Trust Fund for the ECE Study on Long-Term European Timber Trends and Prospects,2017,2020,4
MIS,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA),2017,2024,8
MNA,Voluntary Trust Fund for Assistance in Mine Action,2017,2024,8
MSM,Trust Fund in Support of the African-led International Support Mission in Mali,2017,2024,8
MSS,Trust Fund in Support of the Multinational Security Support (MSS) Mission in Haiti,2023,2024,2
MWF,Trust Fund for the Memorial Wall for Fallen UN Peacekeepers,2024,2024,1
MYM,Trust Fund in support of executing the mandate of the Special Envoy of Secretary-General on Myanmar (SESG-Myanmar),2020,2024,5
NAA,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process,2017,2024,8
NGA,Trust Fund to Support Peace Process in the Democratic Republic of Congo,2017,2024,8
NNA,Trust Fund for Children and Armed Conflict,2017,2024,8
OAU,Trust Fund to support the rkl^r pursuant to Security Councils OOPM (OMNS) OPTU (OMNT) and OQRT (OMNV),2020,2024,5
OST,Trust Fund in Support of the Office of the Secretary-General's Envoy on Technology,2023,2024,2
OTB,Trust Fund to Support the launch and operationalization of the Technology Bank for LDCs,2017,2024,8
OUN,Technical Cooperation Trust Fund for One UN projects implemented by UNCTAD,2017,2024,8
PDF,Trust Fund for United Nations Peace and Development,2017,2024,8
PGA,Trust Fund for Population and Development,2017,2024,8
PIA,Trust Fund for Public Awareness on Disarmament Affairs,2019,2024,6
PIL,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law,2017,2024,8
PSL,Trust Fund in Support of Peace and Security in Libya,2017,2024,6
PSM,Trust Fund in Support of Peace and Security in Mali,2017,2024,8
PSO,Trust Fund for the Peacebuilding Support Office,2017,2024,8
PYA,Trust Fund for Preventive Action,2017,2024,8
QGA,United Nations Fund for International Partnership (UNFIP),2017,2024,8
QGB,Trust Fund for Partnerships,2017,2024,8
