calendar_year,fund_code,fund_name,base_schedule_number,recid,first_pdf_page
2019,DVA,Trust Fund for Development Planning and Projections,3.6,3875594.0,185
2019,DWA,Trust Fund for the United Nations Disarmament Info Programme,1.46,3875594.0,130
2019,DXA,Trust Fund for Disaster Reduction,4.8,3875594.0,311
2019,EAA,"United Nations Electronic Data Interchange for Administration, Commerce and Transport",3.7,3875594.0,187
2019,ECE,ECE Local Technical Co-operation Trust Funds,3.8,3875594.0,189
2019,EER,Trust Fund in Support of the UN Coordinated Response to the Ebola Crisis,1.15,3875594.0,49
2019,EHA,UN/ECE Trust Fund on Human Settlements,3.9,3875594.0,193
2019,EIA,"Trust Fund for Environmental Performance Reviews and the ""Environment for Europe""",3.10,3875594.0,196
2019,ERA,Development Forum Trust Fund,5.1,3875594.0,343
2019,ESA,Trust Fund for Economic and Social Information,5.2,3875594.0,345
2019,FII,Trust Fund on Indigenous Issues,3.11,3875594.0,199
2019,FYA,United Nations Trust Fund on Family Activities,3.12,3875594.0,202
2019,GAC,Trust Fund in Support of the Office of the President of the General Assembly,6.5,3875594.0,363
2019,GBA,Trust Fund for Statistical Development and Capacity Building,3.13,3875594.0,204
2019,GCU,United Nations Trust Fund for Government Contributions to UNICS,5.3,3875594.0,348
2019,GIV,Trust Fund to Support Global Impact and Vulnerability Alert System,6.6,3875594.0,366
2019,GKA,Global Compact Trust Fund,3.14,3875594.0,207
2019,GLA,Trust Fund in Support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,1.16,3875594.0,51
2019,GNA,Trust Fund for the International Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious Violations of International Humanitarian Law Committed in the Territory of Rwanda,2.3,3875594.0,145
2019,GTA,Trust Fund for German Language Translation,6.7,3875594.0,369
2019,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),1.17,3875594.0,53
2019,HBP,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations system,6.8,3875594.0,372
2019,HCA,Trust Fund for the Support to the Activities of the Centre for Human Rights,4.9,3875594.0,314
2019,HDM,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds,3.15,3875594.0,210
2019,HIA,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development,3.16,3875594.0,214
2019,HKA,Trust Fund in Support of the Political Transition in Haiti,1.18,3875594.0,56
2019,HYA,Trust Fund for Human Security,4.10,3875594.0,319
2019,IDA,United Nations Voluntary Fund on Disability,3.17,3875594.0,217
2019,IDP,African Institute for Economic Development and Planning,3.41,3875594.0,286
2019,IEA,United Nations Youth Fund,3.18,3875594.0,220
2019,IHA,United Nations Voluntary Fund for Indigenous Populations,4.11,3875594.0,322
2019,IIT,Trust Fund in Support of the Implementation of the rkp`o OPTV (OMNT),1.42,3875594.0,121
2019,IOA,Voluntary Trust Fund to Support the Activities of the International Tribunal Established by Security Council Resolution UOT (NVVP),2.4,3875594.0,148
2019,JMS,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur,1.19,3875594.0,59
2019,JPO,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs,3.20,3875594.0,223
2019,JTA,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations,6.9,3875594.0,375
2019,KDB,"Trust Fund to Support the Implementation of Community-based Assistance Projects of the Roma, Ashkali and Egyptian Communities in Kosovo",1.41,3875594.0,118
2019,KJA,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings,2.5,3875594.0,151
2019,KRT,UNAKRT - UN Assistance for the Khmer Rouge Trials,3.21,3875594.0,226
2019,KSA,Trust Fund in Support of the United Nations Forum on Forests,3.22,3875594.0,229
2019,KUA,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf,2.6,3875594.0,154
2019,LAC,ECLAC - Miscellaneous Project Accounts,3.23,3875594.0,232
2019,LEA,Library Endowment Fund,6.10,3875594.0,377
2019,LJA,Trust Fund for Special Projects of the Secretary-General,6.11,3875594.0,379
2019,LLA,Trust Fund in Support of the Department of Peacekeeping Operations,1.20,3875594.0,61
2019,LLB,Trust Fund in Support of the Department of Operational Support,1.44,3875594.0,127
2019,LLS,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)",3.24,3875594.0,235
2019,LPD,Trust Fund to Support Lasting Peace in Darfur,1.21,3875594.0,64
2019,LRA,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution,3.25,3875594.0,238
2019,LSS,Trust Fund for UNOG Local Support Services,6.12,3875594.0,382
2019,LTA,Trust Fund for the ECE Study on Long-Term European Timber Trends and Prospects,3.26,3875594.0,241
2019,MIS,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA),1.22,3875594.0,66
2019,MNA,Voluntary Trust Fund for Assistance in Mine Action,4.12,3875594.0,325
2019,MSM,Trust Fund in Support of the African-led International Support Mission in Mali,1.23,3875594.0,68
2019,NAA,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process,3.27,3875594.0,244
2019,NGA,Trust Fund to Support Peace Process in the Democratic Republic of Congo,1.24,3875594.0,70
2019,NNA,Trust Fund for Children and Armed Conflict,1.25,3875594.0,72
2019,OTB,Trust Fund to Support the Launch and Operationalization of the Technology Bank for LDCs,3.28,3875594.0,246
2019,OUN,Technical Cooperation Trust Fund for One UN Projects Implemented by UNCTAD,3.29,3875594.0,249
2019,PDF,Trust Fund for United Nations Peace and Development,3.30,3875594.0,252
2019,PGA,Trust Fund for Population and Development,3.31,3875594.0,255
2019,PIA,Trust fund for Public Awareness on Disarmament Affair,1.47,3875594.0,133
2019,PIL,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law,2.7,3875594.0,156
2019,PSL,Trust Fund in Support of Peace and Security in Libya,1.26,3875594.0,75
2019,PSM,Trust Fund in Support of Peace and Security in Mali,1.27,3875594.0,77
2019,PSO,Trust Fund for the Peacebuilding Support Office,1.28,3875594.0,80
2019,PYA,Trust Fund for Preventive Action,1.29,3875594.0,83
2019,QGA,United Nations Fund for International Partnership (UNFIP),7.1,3875594.0,412
2019,QGB,Trust Fund for Partnerships,7.2,3875594.0,415
2019,QOA,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions,6.13,3875594.0,385
2019,RIA,United Nations Research Institute for Social Development,3.32,3875594.0,258
2019,RMB,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals,2.8,3875594.0,159
2019,ROD,Trust Fund in Support of the United Nations Register of Damage,1.30,3875594.0,86
2019,RSS,Trust Fund for the United Nations Mission in South Sudan,1.48,3875594.0,136
2019,SAU,Trust Fund in Support of the African Union Mission to Somalia (AMISOM),1.31,3875594.0,89
2019,SBA,Trust Fund in Support of United Nations Programme on Peaceful Uses of Outer Space,1.32,3875594.0,92
2019,SDP,Trust Fund for Sports for Development and Peace,6.14,3875594.0,388
2019,SHA,United Nations Trust Fund on Contemporary Forms of Slavery,4.13,3875594.0,328
2019,SIM,Trust Fund in Support of the International Impartial and Independent Mechanism,4.14,3875594.0,331
2019,SNA,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund),6.15,3875594.0,390
2019,SOP,Trust Fund for Peacebuilding in Somalia,1.33,3875594.0,95
2019,STS,Trust Fund in Support of the Somali Transitional Security Institutions,1.34,3875594.0,98
2019,SVB,Trust Fund in Support of Victims of Sexual Exploitaion and Abuse,1.35,3875594.0,101
2019,SVC,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict,1.36,3875594.0,104
2019,SVD,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children,1.37,3875594.0,107
2019,SWE,Trust Fund for Support of Joint Inspection Unit (JIU) Activities,3.33,3875594.0,261
2019,SZA,Trust Fund in Support of Political Affairs,1.38,3875594.0,110
2019,TJA,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice,2.9,3875594.0,162
2019,TLA,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law",2.10,3875594.0,164
2019,TTA,United Nations Commission on International Trade Law Symposia,2.11,3875594.0,167
2019,TXB,Trust Fund for UNCTAD Technical Cooperation Projects,3.34,3875594.0,263
2019,UDF,United Nations Democracy Trust Fund,1.39,3875594.0,113
2019,UGA,Trust Fund for Security of Staff Members of the United Nations System,6.16,3875594.0,392
2019,UIC,Trust Fund for the United Nations Operation in Cote d'Ivoire,1.40,3875594.0,116
2019,UNN,Trust Fund for UNON Extrabudgetary,6.17,3875594.0,394
2019,UPR,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review,4.15,3875594.0,334
2019,VPU,Voluntary Fund for Participation in the Universal Periodic Review,4.16,3875594.0,337
2019,VTA,Voluntary Technical Assistance Trust Fund to Support the Paticipation of Least Developed Countries and Small Island Developing States in the work of the Human Rights Council,4.17,3875594.0,340
2019,WAA,Trust Fund for Aging,3.35,3875594.0,268
2019,WKA,Trust Fund to Support the Work of the High-level Political Forum on Sustainable Development,3.36,3875594.0,271
2019,WOA,Trust Fund for the Follow-up to the World Summit for Social Development,3.37,3875594.0,274
2019,WVZ,ESCWA - Technical Cooperation Trust Fund,3.38,3875594.0,276
2019,XES,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme,3.39,3875594.0,279
2019,YFA,Trust Fund for Assistance in the Training of United Nations Staff in the French Language,6.18,3875594.0,397
2019,YJA,Trust Fund for Alliance of Civilizations,3.40,3875594.0,283
2019,YRA,Trust Fund for Will and Gift to the UN,6.19,3875594.0,399
2020,ACM,Trust Fund in Support of General Assembly and Conference Management Activities,6.1,,360
2020,AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,4.1,,303
2020,AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,3.1,,185
2020,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,1.1,,12
2020,BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,3.2,,188
2020,BTF,General Trust Fund for ESCAP Regional Activities,3.3,,191
2020,BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,3.4,,194
2020,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,1.2,,14
2020,CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2.1,,152
2020,CCS,Trust Fund for Climate Change Support,6.2,,363
2020,CER,Central Emergency Response Fund,4.2,,306
2020,CFE,Trust Fund for ECA Construction,6.21,,418
2020,CHA,United Nations Voluntary Fund for Victims of Torture,4.3,,310
2020,CIA,Trust Fund for a Human Rights Education Programme in Cambodia,4.4,,313
2020,CIB,Trust Fund in Support of the Construction and Renovation of the United Nations Compound in Baghdad,1.3,,17
2020,CLA,Trust Fund for Legal Affairs and Related Issues,2.2,,155
2020,CLO,Trust Funds converted from IMIS to be closed,6.3,,366
2020,CLR,Trust Fund Central Emergency Response Fund Loan Component,4.5,,316
2020,CNM,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation,1.43,,129
2020,COC,Trust Fund to Support Management and Reform Activities,6.4,,369
2020,CPK,Trust Fund for Peacekeeping Support Activities,1.4,,19
2020,CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,3.5,,198
2020,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,1.5,,21
2020,CTI,Trust Fund for Counter-Terrorism,1.6,,24
2020,CYP,Trust Fund to Support Peace and Security in Cyprus,1.7,,27
2020,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,1.8,,30
2020,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",1.9,,33
2020,DDN,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator,4.6,,318
2020,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,1.10,,36
2020,DGA,Trust Fund for Global and Regional Disarmament Activities,1.11,,39
2020,DGT,Sub-account for Supporting the Implementation of the Arms Trade Treaty and Programme of Action,1.12,,42
2020,DJA,Trust Fund for the Establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),1.13,,45
2020,DLA,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund,4.7,,322
2020,DRA,United Nations Institute for Disarmament Research,1.14,,48
2020,DSA,Special Purpose Trust Fund for the Reinvigorated Resident Coordinator (RC) System,6.22,,420
2020,DUN,Trust Fund for Digital Agenda,6.20,,415
2020,DWA,Trust Fund for the United Nations Disarmament Info Programme,1.46,,138
2020,DXA,Trust Fund for Disaster Reduction,4.8,,324
2020,EAA,"United Nations Electronic Data Interchange for Administration, Commerce and Transport",3.7,,201
2020,ECE,ECE Local Technical Co-operation Trust Funds,3.8,,204
2020,EER,Trust Fund in Support of the UN Coordinated Response to the Ebola Crisis,1.15,,51
2020,EHA,UN/ECE Trust Fund on Human Settlements,3.9,,208
2020,EIA,"Trust Fund for Environmental Performance Reviews and the ""Environment for Europe""",3.10,,211
2020,ERA,Development Forum Trust Fund,5.1,,352
2020,ESA,Trust Fund for Economic and Social Information,5.2,,354
2020,FII,Trust Fund on Indigenous Issues,3.11,,214
2020,FYA,United Nations Trust Fund on Family Activities,3.12,,217
2020,GAC,Trust Fund in Support of the Office of the President of the General Assembly,6.5,,372
2020,GBA,Trust Fund for Statistical Development and Capacity Building,3.13,,219
2020,GCU,United Nations Trust Fund for Government Contributions to UNICS,5.3,,357
2020,GIV,Trust Fund to Support Global Impact and Vulnerability Alert System,6.6,,375
2020,GKA,Global Compact Trust Fund,3.14,,222
2020,GLA,Trust Fund in Support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,1.16,,53
2020,GNA,Trust Fund for the International Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious Violations of International Humanitarian Law Committed in the Territory of Rwanda,2.3,,158
2020,GTA,Trust Fund for German Language Translation,6.7,,378
2020,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),1.17,,56
2020,HBP,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations system,6.8,,381
2020,HCA,Trust Fund for the Support to the Activities of the Centre for Human Rights,4.9,,327
2020,HCB,Host Country Agreements - rken (Volume 1),6.23,,425
2020,HDM,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds,3.15,,225
2020,HIA,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development,3.16,,228
2020,HKA,Trust Fund in Support of the Political Transition in Haiti,1.18,,59
2020,HYA,Trust Fund for Human Security,4.10,,332
2020,IDA,United Nations Voluntary Fund on Disability,3.17,,231
2020,IDP,African Institute for Economic Development and Planning,3.41,,299
2020,IEA,United Nations Youth Fund,3.18,,234
2020,IHA,United Nations Voluntary Fund for Indigenous Populations,4.11,,335
2020,IIT,Trust Fund in Support of the Implementation of the rkp`o OPTV (OMNT),1.42,,126
2020,IOA,Voluntary Trust Fund to Support the Activities of the International Tribunal Established by Security Council Resolution UOT (NVVP),2.4,,160
2020,JMS,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur,1.19,,61
2020,JPO,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs,3.20,,236
2020,JTA,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations,6.9,,384
2020,KDB,"Trust Fund to Support the Implementation of Community-based Assistance Projects of the Roma, Ashkali and Egyptian Communities in Kosovo",1.41,,124
2020,KJA,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings,2.5,,163
2020,KRT,UNAKRT - UN Assistance for the Khmer Rouge Trials,3.21,,239
2020,KSA,Trust Fund in Support of the United Nations Forum on Forests,3.22,,242
2020,KUA,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf,2.6,,166
2020,LAC,ECLAC - Miscellaneous Project Accounts,3.23,,245
2020,LEA,Library Endowment Fund,6.10,,387
2020,LJA,Trust Fund for Special Projects of the Secretary-General,6.11,,389
2020,LLA,Trust Fund in Support of the Department of Peacekeeping Operations,1.20,,64
2020,LLB,Trust Fund in Support of the Department of Operational Support,1.44,,132
2020,LLS,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)",3.24,,248
2020,LPD,Trust Fund to Support Lasting Peace in Darfur,1.21,,67
2020,LRA,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution,3.25,,251
2020,LSS,Trust Fund for UNOG Local Support Services,6.12,,392
2020,LTA,Trust Fund for the ECE Study on Long-Term European Timber Trends and Prospects,3.26,,254
2020,MIS,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA),1.22,,70
2020,MNA,Voluntary Trust Fund for Assistance in Mine Action,4.12,,338
2020,MSM,Trust Fund in Support of the African-led International Support Mission in Mali,1.23,,72
2020,MYM,Trust Fund in Support of Executing the Mandate of the Special Envoy of Secretary-General on Myanmar (SESG- Myanmar),1.50,,149
2020,NAA,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process,3.27,,257
2020,NGA,Trust Fund to Support Peace Process in the Democratic Republic of Congo,1.24,,74
2020,NNA,Trust Fund for Children and Armed Conflict,1.25,,77
2020,OAU,"Trust Fund to Support the rkl^r Pursuant to Security Councils OOPM (OMNS), OPTU (OMNT) and OQRT (OMNV)",1.45,,135
2020,OTB,Trust Fund to Support the Launch and Operationalization of the Technology Bank for LDCs,3.28,,260
2020,OUN,Technical Cooperation Trust Fund for One UN Projects Implemented by UNCTAD,3.29,,263
2020,PDF,Trust Fund for United Nations Peace and Development,3.30,,266
2020,PGA,Trust Fund for Population and Development,3.31,,269
2020,PIA,Trust fund for Public Awareness on Disarmament Affair,1.47,,141
2020,PIL,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law,2.7,,168
2020,PSL,Trust Fund in Support of Peace and Security in Libya,1.26,,80
2020,PSM,Trust Fund in Support of Peace and Security in Mali,1.27,,83
2020,PSO,Trust Fund for the Peacebuilding Support Office,1.28,,86
2020,PYA,Trust Fund for Preventive Action,1.29,,89
2020,QGA,United Nations Fund for International Partnership (UNFIP),7.1,,428
2020,QGB,Trust Fund for Partnerships,7.2,,431
2020,QOA,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions,6.13,,395
2020,RIA,United Nations Research Institute for Social Development,3.32,,271
2020,RMB,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals,2.8,,171
2020,ROD,Trust Fund in Support of the United Nations Register of Damage,1.30,,92
2020,RSS,Trust Fund for the United Nations Mission in South Sudan,1.48,,143
2020,SAU,Trust Fund in Support of the African Union Mission to Somalia (AMISOM),1.31,,95
2020,SBA,Trust Fund in Support of United Nations Programme on Peaceful Uses of Outer Space,1.32,,98
2020,SCC,Trust Fund to support the Syrian Constitutional Committee,1.49,,146
2020,SDP,Trust Fund for Sports for Development and Peace,6.14,,398
2020,SHA,United Nations Trust Fund on Contemporary Forms of Slavery,4.13,,341
2020,SIM,Trust Fund in Support of the International Impartial and Independent Mechanism,2.12,,182
2020,SNA,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund),6.15,,401
2020,SOP,Trust Fund for Peacebuilding in Somalia,1.33,,101
2020,STS,Trust Fund in Support of the Somali Transitional Security Institutions,1.34,,104
2020,SVB,Trust Fund in Support of Victims of Sexual Exploitaion and Abuse,1.35,,107
2020,SVC,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict,1.36,,110
2020,SVD,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children,1.37,,113
2020,SWE,Trust Fund for Support of Joint Inspection Unit (JIU) Activities,3.33,,274
2020,SZA,Trust Fund in Support of Political Affairs,1.38,,116
2020,TJA,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice,2.9,,174
2020,TLA,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law",2.10,,176
2020,TTA,United Nations Commission on International Trade Law Symposia,2.11,,179
2020,TXB,Trust Fund for UNCTAD Technical Cooperation Projects,3.34,,276
2020,UDF,United Nations Democracy Trust Fund,1.39,,119
2020,UGA,Trust Fund for Security of Staff Members of the United Nations System,6.16,,403
2020,UIC,Trust Fund for the United Nations Operation in Cote d'Ivoire,1.40,,122
2020,UNN,Trust Fund for UNON Extrabudgetary,6.17,,406
2020,UPR,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review,4.15,,344
2020,VPU,Voluntary Fund for Participation in the Universal Periodic Review,4.16,,347
2020,VTA,Voluntary Technical Assistance Trust Fund to Support the Paticipation of Least Developed Countries and Small Island Developing States in the work of the Human Rights Council,4.17,,349
2020,WAA,Trust Fund for Aging,3.35,,281
2020,WKA,Trust Fund to Support the Work of the High-level Political Forum on Sustainable Development,3.36,,283
2020,WOA,Trust Fund for the Follow-up to the World Summit for Social Development,3.37,,286
2020,WVZ,ESCWA - Technical Cooperation Trust Fund,3.38,,289
2020,XES,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme,3.39,,292
2020,YFA,Trust Fund for Assistance in the Training of United Nations Staff in the French Language,6.18,,409
2020,YJA,Trust Fund for Alliance of Civilizations,3.40,,296
2020,YRA,Trust Fund for Will and Gift to the UN,6.19,,412
2021,ACM,Trust Fund in Support of General Assembly and Conference Management Activities,6.1,3984139.0,343
2021,AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,4.1,3984139.0,285
2021,AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,3.1,3984139.0,177
2021,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,1.1,3984139.0,12
2021,BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,3.2,3984139.0,180
2021,BTF,General Trust Fund for ESCAP Regional Activities,3.3,3984139.0,183
2021,BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,3.4,3984139.0,186
2021,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,1.2,3984139.0,14
2021,CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2.1,3984139.0,143
2021,CCS,Trust Fund for Climate Change Support,6.2,3984139.0,346
2021,CER,Central Emergency Response Fund,4.2,3984139.0,288
2021,CFE,Trust Fund for ECA Construction,6.21,3984139.0,391
2021,CHA,United Nations Voluntary Fund for Victims of Torture,4.3,3984139.0,292
2021,CIA,Trust Fund for a Human Rights Education Programme in Cambodia,4.4,3984139.0,295
2021,CIB,Trust Fund in Support of the Construction and Renovation of the United Nations Compound in Baghdad,1.3,3984139.0,17
2021,CLA,Trust Fund for Legal Affairs and Related Issues,2.2,3984139.0,146
2021,CLO,Trust Funds converted from IMIS to be closed,6.3,3984139.0,349
2021,CLR,Trust Fund Central Emergency Response Fund Loan Component,4.5,3984139.0,298
2021,CNM,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation,1.43,3984139.0,119
2021,COC,Trust Fund to Support Management and Reform Activities,6.4,3984139.0,352
2021,CPK,Trust Fund for Peacekeeping Support Activities,1.4,3984139.0,19
2021,CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,3.5,3984139.0,189
2021,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,1.5,3984139.0,22
2021,CTI,Trust Fund for Counter-Terrorism,1.6,3984139.0,25
2021,CYP,Trust Fund to Support Peace and Security in Cyprus,1.7,3984139.0,28
2021,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,1.8,3984139.0,30
2021,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",1.9,3984139.0,33
2021,DDN,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator,4.6,3984139.0,300
2021,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,1.10,3984139.0,36
2021,DGA,Trust Fund for Global and Regional Disarmament Activities,1.11,3984139.0,39
2021,DGT,Sub-account for Supporting the Implementation of the Arms Trade Treaty and Programme of Action,1.12,3984139.0,42
2021,DJA,Trust Fund for the Establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),1.13,3984139.0,45
2021,DLA,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund,4.7,3984139.0,304
2021,DRA,United Nations Institute for Disarmament Research,1.14,3984139.0,47
2021,DSA,Special Purpose Trust Fund for the Reinvigorated Resident Coordinator (RC) System,6.22,3984139.0,393
2021,DUN,Trust Fund for Digital Agenda,6.20,3984139.0,389
2021,DWA,Trust Fund for the United Nations Disarmament Info Programme,1.46,3984139.0,129
2021,DXA,Trust Fund for Disaster Reduction,4.8,3984139.0,306
2021,ECE,ECE Local Technical Co-operation Trust Funds,3.8,3984139.0,192
2021,ERA,Development Forum Trust Fund,5.1,3984139.0,335
2021,ESA,Trust Fund for Economic and Social Information,5.2,3984139.0,337
2021,FII,Trust Fund on Indigenous Issues,3.11,3984139.0,196
2021,FYA,United Nations Trust Fund on Family Activities,3.12,3984139.0,199
2021,GAC,Trust Fund in Support of the Office of the President of the General Assembly,6.5,3984139.0,355
2021,GBA,Trust Fund for Statistical Development and Capacity Building,3.13,3984139.0,201
2021,GCU,United Nations Trust Fund for Government Contributions to UNICS,5.3,3984139.0,340
2021,GIV,Trust Fund to Support Global Impact and Vulnerability Alert System,6.6,3984139.0,358
2021,GKA,Global Compact Trust Fund,3.14,3984139.0,204
2021,GLA,Trust Fund in Support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,1.16,3984139.0,50
2021,GTA,Trust Fund for German Language Translation,6.7,3984139.0,361
2021,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),1.17,3984139.0,53
2021,HBP,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations System,6.8,3984139.0,364
2021,HCA,Trust Fund for the Support to the Activities of the Centre for Human Rights,4.9,3984139.0,309
2021,HCB,Host Country Agreements - rken (Volume 1),6.23,3984139.0,399
2021,HDM,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds,3.15,3984139.0,207
2021,HIA,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development,3.16,3984139.0,210
2021,HKA,Trust Fund in Support of the Political Transition in Haiti,1.18,3984139.0,56
2021,HYA,Trust Fund for Human Security,4.10,3984139.0,313
2021,ICJ,Trust Fund for the Judicial Fellowship of the International Court of Justice,2.14,3984139.0,174
2021,IDA,United Nations Voluntary Fund on Disability,3.17,3984139.0,213
2021,IDP,African Institute for Economic Development and Planning,3.41,3984139.0,278
2021,IEA,United Nations Youth Fund,3.18,3984139.0,216
2021,IHA,United Nations Voluntary Fund for Indigenous Populations,4.11,3984139.0,316
2021,IIM,Trust Fund for the Independent Investigative Mechanism for Myanmar,2.13,3984139.0,171
2021,IIT,Trust Fund in Support of the Implementation of the rkp`o OPTV (OMNT),1.42,3984139.0,116
2021,JMS,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur,1.19,3984139.0,58
2021,JPO,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs,3.20,3984139.0,219
2021,JTA,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations,6.9,3984139.0,367
2021,KDB,"Trust Fund to Support the Implementation of Community-based Assistance Projects of the Roma, Ashkali and Egyptian Communities in Kosovo",1.41,3984139.0,114
