PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,DGACM,2024,2024,481462.0,Voluntary,Financial Statement,Trust Fund in Support of General Assembly and Conference Management Activities
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,29993059.0,Voluntary,Financial Statement,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,-23632.0,Voluntary,Financial Statement,Trust Fund for the Annual Ministerial Review (AMR) and the Development Cooperation Forum (DCF)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAMS,2024,2024,22731.0,Voluntary,Financial Statement,Trust Fund for the United Nations Integrated Transition Assistance Mission in Sudan
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMA,2024,2024,6837.0,Voluntary,Financial Statement,Trust Fund for the Promotion of Social and Economic Development in Afghanistan
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,19,Economic and social development in Asia and the Pacific,ESCAP,2024,2024,24967461.0,Voluntary,Financial Statement,ESCAP - Technical Cooperation Project Trust Funds - Local
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,19,Economic and social development in Asia and the Pacific,ESCAP,2024,2024,2495064.0,Voluntary,Financial Statement,General Trust Fund for ESCAP Regional Activities
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,21,Economic and social development in Latin America and the Caribbean,ECLAC,2024,2024,11621312.0,Voluntary,Financial Statement,ECLAC Santiago - Technical Cooperation Project Trust Funds
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2024,2024,105812.0,Voluntary,Financial Statement,Trust Fund in Support of Peace and Security in the Central African Republic
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,434226.0,Voluntary,Financial Statement,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,6481745.0,Voluntary,Financial Statement,Trust Fund for Climate Change Support
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2024,2024,580931038.0,Voluntary,Financial Statement,Central Emergency Response Fund
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2024,2024,194577.0,Voluntary,Financial Statement,Trust Fund for ECA Construction
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,10411897.0,Voluntary,Financial Statement,United Nations Voluntary Fund for Victims of Torture
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,1829631.0,Voluntary,Financial Statement,Trust Fund for a Human Rights Education Programme in Cambodia
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAMI,2024,2024,31004726.0,Voluntary,Financial Statement,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,470613.0,Voluntary,Financial Statement,Trust Fund for Legal Affairs and related issues
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",OTHER,2024,2024,-327.0,Voluntary,Financial Statement,Trust Funds converted from IMIS to be closed
