PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CNMC,2024,2024,1348599.0,Voluntary,Financial Statement,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation and Other Activities Related to Preventive Diplomacy and Peacemaking
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,1192599.0,Voluntary,Financial Statement,Trust Fund to Support Management and Reform Activities
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2024,70284.0,Voluntary,Financial Statement,Trust Fund in Support Peacekeeping Activities
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,131694.0,Voluntary,Financial Statement,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System
Maintenance of international peace and security,II,Political affairs,3,Political affairs,CTED,2024,2024,9335.0,Voluntary,Financial Statement,Trust Fund for the Counter-Terrorism Committee Executive Directorate
"Drug control, crime prevention and combating terrorism",II,Political affairs,3,Political affairs,OCT,2024,2024,44369529.0,Voluntary,Financial Statement,Trust Fund for Counter-Terrorism
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNFICYP,2024,2024,-20.0,Voluntary,Financial Statement,Trust Fund to Support Peace and Security in Cyprus
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,171910.0,Voluntary,Financial Statement,United Nations Regional Centre for Peace and Disarmament in Africa
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,1531865.0,Voluntary,Financial Statement,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America"
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,OCHA,2024,2024,1341551484.0,Voluntary,Financial Statement,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,347306.0,Voluntary,Financial Statement,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,13552493.0,Voluntary,Financial Statement,Trust Fund for Global and Regional Disarmament Activities
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,1100582.0,Voluntary,Financial Statement,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,-656.0,Voluntary,Financial Statement,Trust Fund for the establishment of a Joint Investigative Mechanism (JIM) pursuant to UNSCR 2235 (2015)
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,UNDRR,2024,2024,-1261.0,Voluntary,Financial Statement,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund
Disarmament,II,Political affairs,4,Disarmament,UNIDIR,2024,2024,13474438.0,Voluntary,Financial Statement,United Nations Institute for Disarmament Research
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",RCS,2024,2024,220006288.0,Voluntary,Financial Statement,Special Purpose Trust Fund for Reinvigorated RC System
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSET,2024,2024,45.0,Voluntary,Financial Statement,Trust Fund for Digital Agenda
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,245162.0,Voluntary,Financial Statement,Trust Fund for the United Nations Disarmament Info Programme
Effective coordination of humanitarian assistance efforts,VI,Human rights and humanitarian affairs,27,Humanitarian assistance,UNDRR,2024,2024,61389430.0,Voluntary,Financial Statement,Trust Fund for Disaster Reduction
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2024,2024,23225819.0,Voluntary,Financial Statement,ECE Local Technical Co-operation Trust Funds
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,419227.0,Voluntary,Financial Statement,Development Forum Trust Fund
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,5747384.0,Voluntary,Financial Statement,Trust Fund for Economic and Social Information
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2024,2024,572528.0,Voluntary,Financial Statement,Trust Fund in Support of the System-Wide Evaluation
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,271112.0,Voluntary,Financial Statement,Trust Fund on Indigenous Issues
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,42492.0,Voluntary,Financial Statement,United Nations Trust Fund on Family Activities
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,OPGA,2024,2024,2603079.0,Voluntary,Financial Statement,Trust Fund in Support of the Office of the President of the General Assembly
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,622205.0,Voluntary,Financial Statement,Trust Fund for Statistical Development and Capacity Building
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,906476.0,Voluntary,Financial Statement,United Nations Trust Fund for Government Contributions to UNICS
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,2564242.0,Voluntary,Financial Statement,Trust Fund to Support Global Impact and Vulnerability Alert System
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNGCO,2024,2024,9223419.0,Voluntary,Financial Statement,Global Compact Trust Fund
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OSESG-GL,2024,2024,1127929.0,Voluntary,Financial Statement,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",2,General Assembly and Economic and Social Council affairs and conference management,DGACM,2024,2024,2316287.0,Voluntary,Financial Statement,Trust Fund for German Language Translation
Effective functioning of the organization,X,Jointly financed administrative activities and special expenses,31,Jointly financed administrative activities,CEB,2024,2024,-91.0,Voluntary,Financial Statement,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations System
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,235607363.0,Voluntary,Financial Statement,Trust Fund for the Support to the Activities of the Centre for Human Rights
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,851581.0,Voluntary,Financial Statement,Host Country Agreements - UNHQ (Volume 1)
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2024,2024,14194355.0,Voluntary,Financial Statement,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,5141260.0,Voluntary,Financial Statement,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development
Maintenance of international peace and security,II,Political affairs,3,Political affairs,BINUH,2024,2024,-191.0,Voluntary,Financial Statement,Trust Fund in Support of the Political Transition in Haiti
Maintenance of international peace and security,II,Political affairs,3,Political affairs,HSU,2024,2024,8322174.0,Voluntary,Financial Statement,Trust Fund for Human Security
Promotion of international justice and law,III,International justice and law,7,International Court of Justice,ICJ,2024,2024,142987.0,Voluntary,Financial Statement,Trust Fund for the Judicial Fellowship of the International Court of Justice
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,43972.0,Voluntary,Financial Statement,United Nations Voluntary Fund on Disability
Development of Africa,V,Regional cooperation for development,18,Economic and social development in Africa,ECA,2024,2024,3400400.0,Voluntary,Financial Statement,African Institute for Economic Development and Planning
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,6315.0,Voluntary,Financial Statement,United Nations Youth Fund
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,984431.0,Voluntary,Financial Statement,United Nations Voluntary Fund for Indigenous Populations
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IM-MYANMAR,2024,2024,3398004.0,Voluntary,Financial Statement,Trust Fund for the Independent Investigative Mechanism for Myanmar
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNITAD,2024,2024,6997222.0,Voluntary,Financial Statement,Trust Fund in Support of the Implementation of the UNSCR 2379 (2017)
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNAMID,2024,2024,-4520.0,Voluntary,Financial Statement,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,JPO,2024,2024,62478644.0,Voluntary,Financial Statement,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,OTHER,2024,2024,208769.0,Voluntary,Financial Statement,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMIK,2024,2024,-8.0,Voluntary,Financial Statement,"Trust Fund to Support the Implementation of Community-based Assistance Projects of the Roma, Ashkali and Egyptian Communities in Kosovo"
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,566300.0,Voluntary,Financial Statement,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings
Promotion of international justice and law,III,International justice and law,8,Legal affairs,UNAKRT,2024,2024,2239635.0,Voluntary,Financial Statement,UNAKRT - UN Assistance for the Khmer Rouge Trails
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,414398.0,Voluntary,Financial Statement,Trust Fund in Support of the United Nations Forum on Forests
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,76575.0,Voluntary,Financial Statement,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,21,Economic and social development in Latin America and the Caribbean,ECLAC,2024,2024,7760.0,Voluntary,Financial Statement,ECLAC - Miscellaneous project accounts
Effective functioning of the organization,VIII,Common support services,29E,"Administration, Geneva",UNOG,2024,2024,-1536.0,Voluntary,Financial Statement,Library Endowment Fund
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2024,2024,13166035.0,Voluntary,Financial Statement,Trust Fund for Special Projects of the Secretary-General
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2024,29900178.0,Voluntary,Financial Statement,Trust Fund in Support of the Department of Peacekeeping Operations
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2024,2024,19210985.0,Voluntary,Financial Statement,Trust Fund in Support of the Department of Operational Support
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,10,"Least developed countries, landlocked developing countries and small island developing States",OHRLLS,2024,2024,1808919.0,Voluntary,Financial Statement,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)"
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",RCS,2024,2024,7292507.0,Voluntary,Financial Statement,Trust Fund for Locally Mobilized Non-Core Resources for the UN Resident Coordinator Offices
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNAMID,2024,2024,-273.0,Voluntary,Financial Statement,Trust Fund to Support Lasting Peace in Darfur
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,20,Economic development in Europe,ECE,2024,2024,3716589.0,Voluntary,Financial Statement,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution
Effective functioning of the organization,VIII,Common support services,29E,"Administration, Geneva",UNOG,2024,2024,2395583.0,Voluntary,Financial Statement,Trust Fund for UNOG Local Support Services
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2024,2024,-162.0,Voluntary,Financial Statement,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA)
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMAS,2024,2024,42221949.0,Voluntary,Financial Statement,Voluntary Trust Fund for Assistance in Mine Action
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2024,2024,-592.0,Voluntary,Financial Statement,Trust Fund in Support of the African-led International Support Mission in Mali
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OTHER,2024,2024,10163434.0,Voluntary,Financial Statement,Trust Fund in Support of the Multinational Security Support (MSS) Mission in Haiti
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2024,2024,-471.0,Voluntary,Financial Statement,Trust Fund for the Memorial Wall for Fallen UN Peacekeepers
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-MYAN,2024,2024,557197.0,Voluntary,Financial Statement,Trust Fund in support of executing the mandate of the Special Envoy of Secretary-General on Myanmar (SESG-Myanmar)
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSAA,2024,2024,482236.0,Voluntary,Financial Statement,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MONUSCO,2024,2024,-1778.0,Voluntary,Financial Statement,Trust Fund to Support Peace Process in the Democratic Republic of Congo
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-CAAC,2024,2024,3025980.0,Voluntary,Financial Statement,Trust Fund for Children and Armed Conflict
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOAU,2024,2024,656331.0,Voluntary,Financial Statement,"Trust Fund to support the UNOAU pursuant to Security Councils 2230 (2016), 2378 (2017) and 2457 (2019)"
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSET,2024,2024,1455707.0,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Secretary-General's Envoy on Technology
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,2245059.0,Voluntary,Financial Statement,Trust Fund to Support the launch and operationalization of the Technology Bank for LDCs
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,12,Trade and development,UNCTAD,2024,2024,1130340.0,Voluntary,Financial Statement,Technical Cooperation Trust Fund for One UN projects implemented by UNCTAD
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,27410004.0,Voluntary,Financial Statement,Trust Fund for United Nations Peace and Development
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,436427.0,Voluntary,Financial Statement,Trust Fund for Population and Development
Disarmament,II,Political affairs,4,Disarmament,ODA,2024,2024,-320.0,Voluntary,Financial Statement,Trust fund for Public Awareness on Disarm Affair
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,3290163.0,Voluntary,Financial Statement,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSMIL,2024,2024,60993.0,Voluntary,Financial Statement,Trust Fund in Support of Peace and Security in Libya
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2024,2024,290366.0,Voluntary,Financial Statement,Trust Fund in Support of Peace and Security in Mali
Maintenance of international peace and security,II,Political affairs,3,Political affairs,DPPA,2024,2024,4285727.0,Voluntary,Financial Statement,Trust Fund for the Peacebuilding Support Office
Maintenance of international peace and security,II,Political affairs,3,Political affairs,DPPA,2024,2024,7141.0,Voluntary,Financial Statement,Trust Fund for Preventive Action
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2024,2024,23555784.0,Voluntary,Financial Statement,United Nations Fund for International Partnership (UNFIP)
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2024,2024,2082710.0,Voluntary,Financial Statement,Trust Fund for Partnerships
Effective functioning of the organization,IX,Internal oversight,30,Internal oversight,OIOS,2024,2024,-50.0,Voluntary,Financial Statement,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,UNRISD,2024,2024,3978122.0,Voluntary,Financial Statement,United Nations Research Institute for Social Development
Promotion of international justice and law,III,International justice and law,8,Legal affairs,MICT,2024,2024,1358432.0,Voluntary,Financial Statement,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNRoD,2024,2024,74604.0,Voluntary,Financial Statement,Trust Fund in Support of the United Nations Register of Damage
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMISS,2024,2024,1395806.0,Voluntary,Financial Statement,Trust Fund for the United Nations Mission in South Sudan
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,AMISOM,2024,2024,20617101.0,Voluntary,Financial Statement,Trust Fund in Support of the African Union Mission to Somalia (AMISOM)
Maintenance of international peace and security,II,Political affairs,6,Peaceful uses of outer space,OOSA,2024,2024,2022254.0,Voluntary,Financial Statement,Trust Fund in Support of United Nations Programme on Peaceful Uses of Outer Space
Maintenance of international peace and security,II,Political affairs,3,Political affairs,OJSRS,2024,2024,662336.0,Voluntary,Financial Statement,Trust Fund to support the Syrian Constitutional Committee
Development of Africa,IV,International cooperation for development,11,United Nations system support for the African Union’s Agenda 2063: The Africa We Want,OSCS,2024,2024,1241915.0,Voluntary,Financial Statement,Trust Fund in support of the activities of the Office of the UN Special Coordinator for the Development in the Sahel
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSC-SEA,2024,2024,67508.0,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Special Coordinator on Improving United Nations Response to Sexual Exploitation and Abuse
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,1324660.0,Voluntary,Financial Statement,United Nations Trust Fund on Contemporary Forms of Slavery
Promotion of international justice and law,III,International justice and law,8,Legal affairs,IIIM,2024,2024,6291535.0,Voluntary,Financial Statement,Trust Fund in Support of the International Impartial and Independent Mechanism
Effective functioning of the organization,VII,Global Communications,28,Global Communications,DGC,2024,2024,-13.0,Voluntary,Financial Statement,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNSOM,2024,2024,761741.0,Voluntary,Financial Statement,Trust Fund for Peacebuilding in Somalia
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2024,2024,488872.0,Voluntary,Financial Statement,Trust Fund in Support of Victims of Sexual Exploitation and Abuse
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-SVC,2024,2024,6192308.0,Voluntary,Financial Statement,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SRSG-VAC,2024,2024,339801.0,Voluntary,Financial Statement,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",SWEO,2024,2024,-262.0,Voluntary,Financial Statement,General Trust Fund for Independent System-wide Evaluations
Maintenance of international peace and security,II,Political affairs,3,Political affairs,DPPA,2024,2024,38485776.0,Voluntary,Financial Statement,Trust Fund in Support of Political Affairs
Promotion of international justice and law,III,International justice and law,7,International Court of Justice,ICJ,2024,2024,743238.0,Voluntary,Financial Statement,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,101040.0,Voluntary,Financial Statement,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law"
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2024,2024,1580105.0,Voluntary,Financial Statement,United Nations Commission on International Trade Law Symposia
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,12,Trade and development,UNCTAD,2024,2024,54683603.0,Voluntary,Financial Statement,Trust Fund for UNCTAD Technical Cooperation Projects
Promotion of sustained economic growth and sustainable development,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNOP,2024,2024,6481148.0,Voluntary,Financial Statement,UN Democracy Trust Fund
Effective functioning of the organization,XII,Safety and security,34,Safety and security,DSS,2024,2024,5728223.0,Voluntary,Financial Statement,Trust Fund for Security of Staff Members of the United Nations System
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,OTHER,2024,2024,-135.0,Voluntary,Financial Statement,Trust Fund for the United Nations Operation in Cote d'Ivoire
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",UNON,2024,2024,47739.0,Voluntary,Financial Statement,Trust Fund for  UNON Extrabudgetary
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,809829.0,Voluntary,Financial Statement,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,164589.0,Voluntary,Financial Statement,Voluntary Fund for Participation in the Universal Periodic Review
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,1218420.0,Voluntary,Financial Statement,Voluntary Technical Assistance Trust Fund to Support the Participation of Least Developed Countries & Small Island Developing States in the work of the Human Rights Council
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,1645.0,Voluntary,Financial Statement,Trust Fund for Aging
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,3068993.0,Voluntary,Financial Statement,Trust Fund to Support the work of the High-level Political Forum on Sustainable Development
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,78962.0,Voluntary,Financial Statement,Trust Fund for the Follow-up to the World Summit for Social Development
Promotion of sustained economic growth and sustainable development,V,Regional cooperation for development,22,Economic and social development in Western Asia,ESCWA,2024,2024,7456536.0,Voluntary,Financial Statement,ESCWA - Technical Cooperation Trust Fund
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,9,Economic and social affairs,DESA,2024,2024,21000451.0,Voluntary,Financial Statement,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme
Maintenance of international peace and security,II,Political affairs,3,Political affairs,SESG-YEMEN,2024,2024,8129.0,Voluntary,Financial Statement,Trust Fund in Support of Office of the Special Envoy of the Secretary General to Yemen (OSESGY)
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNAOC,2024,2024,4960959.0,Voluntary,Financial Statement,Trust Fund for Alliance of Civilizations
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",OTHER,2024,2024,31256.0,Voluntary,Financial Statement,Trust Fund for Will and Gift to the UN
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2024,2024,-78057.0,Voluntary,Financial Statement,United Nations Voluntary Fund for Victims of Torture
"Drug control, crime prevention and combating terrorism",II,Political affairs,3,Political affairs,OCT,2024,2024,-5227.0,Voluntary,Financial Statement,Trust Fund for Counter-Terrorism
