PRIORITY_AREA,PART_ID,PART_DESCRIPTION,SECTION_ID,SECTION_DESCRIPTION,ENTITY,YEAR,FINANCIAL_YEAR,AMOUNT,SOURCE_TYPE,REFERENCE,NOTE
Disarmament,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,1578874.1226263873,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
"Drug control, crime prevention and combating terrorism",XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,3440701.21308804,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Effective coordination of humanitarian assistance efforts,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,14294817.555336323,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Effective functioning of the organization,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,146428977.7028599,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Maintenance of international peace and security,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,81313240.80919598,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Promotion and protection of human rights,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,19918355.31291509,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Promotion of international justice and law,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,9333886.415638233,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Promotion of sustained economic growth and sustainable development,XIV,Staff assessment,36,Staff Assessment,STA,2025,2025,55897967.64062567,Regular assessed,A/81/6,$341.17 million redistributed across priority areas for purpose of visualization
Effective functioning of the organization,II,Political affairs,5,Peacekeeping operations,RSCE,2025,2024/25,48004100.0,Other Assessed,A/80/643,
Effective functioning of the organization,II,Political affairs,5,Peacekeeping operations,UNLB,2025,2024/25,67935300.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNSOS,2025,2024/25,499765200.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMISS,2025,2024/25,1237887300.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNMIK,2025,2024/25,43684700.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNISFA,2025,2024/25,297776200.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNIFIL,2025,2024/25,536808200.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNFICYP,2025,2024/25,56436100.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,UNDOF,2025,2024/25,68743800.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MONUSCO,2025,2024/25,907983500.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSMA,2025,2024/25,202783500.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINUSCA,2025,2024/25,1171619700.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,MINURSO,2025,2024/25,68791100.0,Other Assessed,A/80/643,
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2025,2024/25,101014800.0,Other Assessed,A/80/631,
Maintenance of international peace and security,II,Political affairs,3,Political affairs,UNOAU,2025,2024/25,9807300.0,Other Assessed,A/80/631,
Effective functioning of the organization,VIII,Common support services,29B,Department of Operational Support,DOS,2025,2024/25,108976400.0,Other Assessed,A/80/631,
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2024/25,41091600.0,Other Assessed,A/80/631,
Effective functioning of the organization,VIII,Common support services,29C,Office of Information and Communications Technology,OICT,2025,2024/25,17686900.0,Other Assessed,A/80/631,
Effective functioning of the organization,IX,Internal oversight,30,Internal oversight,OIOS,2025,2024/25,31205400.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",EOSG,2025,2024/25,1322700.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OVRA,2025,2024/25,48200.0,Other Assessed,A/80/631,
Maintenance of international peace and security,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSC-SEA,2025,2024/25,53300.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",AOJ,2025,2024/25,145100.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OSLA,2025,2024/25,218700.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",OMBUD,2025,2024/25,2854000.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ETHICS,2025,2024/25,1090500.0,Other Assessed,A/80/631,
Promotion of international justice and law,III,International justice and law,8,Legal affairs,OLA,2025,2024/25,4813600.0,Other Assessed,A/80/631,
Effective functioning of the organization,VII,Public information,28,Global Communications,DGC,2025,2024/25,865900.0,Other Assessed,A/80/631,
Effective functioning of the organization,XII,Safety and Security,34,Safety and security,DSS,2025,2024/25,3811100.0,Other Assessed,A/80/631,
Effective functioning of the organization,I,"Overall policymaking, direction and coordination",1,"Overall policy-making, direction and coordination",ACABQ,2025,2024/25,862700.0,Other Assessed,A/80/631,
Promotion and protection of human rights,VI,Human rights and humanitarian affairs,24,Human rights,OHCHR,2025,2024/25,2503300.0,Other Assessed,A/80/631,
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2024/25,18318600.0,Other Assessed,A/80/631,ERP
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",OTHER,2025,2024/25,518400.0,Other Assessed,A/80/631,Claims for closed PKO
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2024/25,868500.0,Other Assessed,A/80/631,GSDM
Maintenance of international peace and security,II,Political affairs,5,Peacekeeping operations,DPO,2025,2024/25,3326800.0,Other Assessed,A/80/631,PCRS
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2024/25,19493600.0,Other Assessed,A/80/631,Umoja
Effective functioning of the organization,VIII,Common support services,29A,"Department of Management Strategy, Policy and Compliance",DMSPC,2025,2024/25,13332200.0,Other Assessed,A/80/631,Insurance
Promotion of international justice and law,III,International justice and law,8,Legal affairs,MICT,2025,2025,60964000.0,Other Assessed,A/80/505,
Promotion of sustained economic growth and sustainable development,IV,International cooperation for development,13,International Trade Centre,ITC,2025,2025,125294282.23844282,Voluntary,A/81/6,109 410.1 SwF 0.7737 to $1.00
